varInteres;filtro;varsGroup;varFila;varCol;tipoVar;funcion;tipoBase;id_ind
tipoh4;nper == 1;anio, semestre;e26;tipoh4;nom;dist;hog;1
e26;nper == 1;anio, semestre;tipoh4;e26;nom;dist;hog;2
tipoh4;nper == 1 & pobre == 1;anio, semestre;e26;tipoh4;nom;dist;hog;3
ht19;nper == 1 & pobre == 1;anio, semestre;e26;;cont;media;hog;4
ht19;nper == 1 & pobre == 0;anio, semestre;e26;;cont;media;hog;5
ht19;nper == 1;anio, semestre;e26;;cont;media;hog;6
TotEduc;e27 >= 21 & e27 <= 65;anio, semestre;e26;;cont;media;per;7
primarIncomp;e27 >= 15 & e27 <= 65;anio, semestre;e26;rEdades5;dic;media;per;8
primCompCBinc;e27 >= 17 & e27 <= 65 & TotEduc >=6;anio, semestre;e26;rEdades5;dic;media;per;9
e26;e27 >= 18 & e27 <= 65 & TotEduc > 12;anio, semestre;Mayor25;e26;nom;dist;per;10
desocupado;pobEcAc == 1;anio, semestre;e26;;dic;media;per;11
pobEcAc;pEdTrab == 1;anio, semestre;e26;;dic;media;per;12
ocupados;pEdTrab == 1;anio, semestre;e26;;dic;media;per;13
desocupado;pobEcAc == 1 & pobre == 1;anio, semestre;e26;;dic;media;per;14
pobEcAc;pEdTrab == 1 & pobre == 1;anio, semestre;e26;;dic;media;per;15
ocupados;pEdTrab == 1 & pobre == 1;anio, semestre;e26;;dic;media;per;16
desocupado;pobEcAc == 1;anio, semestre;TotEducRe4;e26;dic;media;per;17
pobEcAc;pEdTrab == 1;anio, semestre;TotEducRe4;e26;dic;media;per;18
ocupados;pEdTrab == 1;anio, semestre;TotEducRe4;e26;dic;media;per;19
condActividad;;anio, semestre;e26;condActividad;nom;dist;per;20
categOcup;ocupados == 1 & categOcup %in% c(1:8);anio, semestre;e26;categOcup;nom;dist;per;21
Der_Jubil;ocupados == 1;anio, semestre;e26;Der_Jubil;nom;dist;per;22
horasTrabT_Rec;ocupados == 1;anio, semestre;e26;horasTrabT_Rec;nom;dist;per;23
subempleo;ocupados == 1;anio, semestre;e26;;dic;media;per;24
ramaAct;ocupados == 1;anio, semestre;e26;ramaAct;nom;dist;per;25
actividad_4C;e27 >= 15 & e27 <= 24;anio, semestre;e26;actividad_4C;nom;dist;per;26
ingSueldoXhora01;ocupados == 1 & categOcup %in% c(1,2);anio, semestre;e26;;cont;media;per;27
ingSueldoXhora01;ocupados == 1 & categOcup %in% c(1,2);anio, semestre;TotEducRe;e26;cont;media;per;28
ht11_svl;nper == 1;anio, semestre;e26;;cont;media;hog;29
sinIngreso;e27 >= 14;anio, semestre;e26;;dic;media;per;30
pobre;nper == 1;anio, semestre;e26;;dic;media;hog;31
indigente;nper == 1;anio, semestre;e26;;dic;media;hog;32
